DateTime,Latitude [deg],Longitude [deg],Altitude [m],GPS Speed [km.h-1],Vehicle Speed [km.h-1],Engine Speed [rpm],Acceleration [m.s-2],Fuel Rate [l.h-1],Intake Air Temperature [c],Mass Air Flow Rate [g.s-1],Intake Manifold Absolute Pressure [kpa],Barometric Pressure [kpa],Phi,Ambient Air Temperature [c],Avg Ambient Air Temperature [c],Area,Idling portion,Duration,CO2 Conc. [%],Temperature [c],Slope [%],Fuel Rate1 [g.s-1],Fuel Rate2 [g.s-1],CO2 Conc. [ppm],CO2 Conc. [mg.m-3],CO2 Rate [kg.s-1],CO2 Rate [g.s-1],laged_distance,laged_distance_corrected, speed distance ,VehicleAge,VehicleSize,EngineSize,VehicleWeight,VehicleWeightKG 
8/21/2019 12:17,45.51638,-73.57381,48.0242,4.644,7,718.75,-0.2845426,1.321187,41,3.97,31.40963,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.4,0.03533267,0.263503407,0.269912468,170300,295258.3355,0.000906625,0.9066251,0,1.944444444,1.944444444,14,1,3,3389,1537
8/21/2019 12:17,45.5164,-73.57384,48.23977,4.644,7,718.75,-0.2845426,1.321187,41,3.97,31.40963,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.4,0.043921718,0.263503407,0.269912468,170300,295258.3355,0.000906625,0.9066251,3.23042264,3.23042264,1.944444444,14,1,3,3389,1537
8/21/2019 12:17,45.5164,-73.57384,48.23977,4.644,7,718.75,-0.2845426,1.321187,41,3.97,31.40963,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.4,0.043921718,0.263503407,0.269912468,170300,295258.3355,0.000906625,0.9066251,0,1.944444444,1.944444444,14,1,3,3389,1537
8/21/2019 12:17,45.51642,-73.57385,48.49563,6.264,7,670,0.03859986,1.344483,41,4.04,31.18521,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,0.06940612,0.268149665,0.27467163,170300,295355.0464,0.000922913,0.922913131,2.35616626,2.35616626,1.944444444,14,1,3,3389,1537
8/21/2019 12:17,45.51643,-73.57385,48.58114,6.264,7,670,0.03859986,1.344483,41,4.04,31.18521,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,0.05320642,0.268149665,0.27467163,170300,295355.0464,0.000922913,0.922913131,1.111418698,1.111418698,1.944444444,14,1,3,3389,1537
8/21/2019 12:17,45.51647,-73.57383,48.85012,7.559999,7,662.25,3.47E-17,1.257957,41,3.78,31.30129,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,0.021081868,0.250892535,0.256994743,170300,295355.0464,0.000863518,0.863517732,4.712332183,4.712332183,1.944444444,14,1,3,3389,1537
8/21/2019 12:17,45.51649,-73.57382,48.82266,5.724,7,662.25,3.47E-17,1.257957,41,3.78,31.30129,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,0.005694327,0.250892535,0.256994743,170300,295355.0464,0.000863518,0.863517732,2.356165964,2.356165964,1.944444444,14,1,3,3389,1537
8/21/2019 12:17,45.5165,-73.57381,48.6951,4.248,7,662.25,3.47E-17,1.257957,41,3.78,31.30129,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.4,-0.009693213,0.250892535,0.256994743,170300,295258.3355,0.000863235,0.863234982,1.358588645,1.358588645,1.944444444,14,1,3,3389,1537
8/21/2019 12:17,45.51651,-73.57381,48.93844,2.597406498,7,662.25,3.47E-17,1.257957,41,3.78,31.30129,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.4,-0.021109216,0.250892535,0.256994743,170300,295258.3355,0.000863235,0.863234982,0.679294293,0.679294293,1.944444444,14,1,3,3389,1537
8/21/2019 12:17,45.51651,-73.5738,49.18179,2.597406495,7,695.5,3.47E-17,1.334499,41,4.01,33.59446,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,-0.018778311,0.266158412,0.272631989,170300,295355.0464,0.00091606,0.916059816,0.679294271,0.679294271,1.944444444,14,1,3,3389,1537
8/21/2019 12:17,45.51651,-73.5738,49.18179,3.71E-06,0,679.75,-0.2725685,1.357795,41,4.08,32.54679,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.4,0,0.270804669,0.277391151,170300,295258.3355,0.000931746,0.931745695,0,0,0,14,1,3,3389,1537
8/21/2019 12:17,45.51651,-73.5738,49.18179,0.828,0,679.75,-0.2725685,1.357795,41,4.08,32.54679,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.4,-0.009458352,0.270804669,0.277391151,170300,295258.3355,0.000931746,0.931745695,0,0,0,14,1,3,3389,1537
8/21/2019 12:17,45.51651,-73.5738,49.18179,0.828,0,688.75,-0.2725685,1.427681,41,4.29,35.01493,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.4,-0.018916704,0.284743044,0.291668637,170300,295258.3355,0.000979703,0.979703194,0,0,0,14,1,3,3389,1537
8/21/2019 12:17,45.51651,-73.5738,49.18179,0.828,0,688.75,-0.2725685,1.427681,41,4.29,35.01493,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.4,-0.018916704,0.284743044,0.291668637,170300,295258.3355,0.000979703,0.979703194,0,0,0,14,1,3,3389,1537
8/21/2019 12:17,45.51651,-73.5738,48.87356,0.54,0,688.75,-0.2725685,1.427681,41,4.29,35.01493,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,-0.028375056,0.284743044,0.291668637,170300,295355.0464,0.000980024,0.980024092,0,0,0,14,1,3,3389,1537
8/21/2019 12:17,45.51651,-73.5738,48.87356,0.54,0,688.75,-0.2725685,1.427681,41,4.29,35.01493,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.4,-0.028375056,0.284743044,0.291668637,170300,295258.3355,0.000979703,0.979703194,0,0,0,14,1,3,3389,1537
8/21/2019 12:17,45.51651,-73.5738,48.87356,0.54,0,690.75,5.55E-17,1.39773,41,4.2,33.83241,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,-0.028375056,0.278769483,0.285549714,170300,295355.0464,0.000959464,0.959464146,0,0,0,14,1,3,3389,1537
8/21/2019 12:17,45.51651,-73.5738,48.87356,0.54,0,690.75,5.55E-17,1.39773,41,4.2,33.83241,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,-0.028375056,0.278769483,0.285549714,170300,295355.0464,0.000959464,0.959464146,0,0,0,14,1,3,3389,1537
8/21/2019 12:17,45.51651,-73.5738,48.87356,0.54,0,675.75,5.55E-17,1.411041,41,4.24,34.05573,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.4,-0.028375056,0.281424288,0.288269235,170300,295258.3355,0.000968285,0.968284742,0,0,0,14,1,3,3389,1537
8/21/2019 12:17,45.51651,-73.5738,48.87356,0.54,0,675.75,5.55E-17,1.411041,41,4.24,34.05573,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,-0.028375056,0.281424288,0.288269235,170300,295355.0464,0.000968602,0.9686019,0,0,0,14,1,3,3389,1537
8/21/2019 12:17,45.51651,-73.57381,49.59488,3.168,0,675.75,5.55E-17,1.411041,41,4.24,34.05573,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,-0.037833408,0.281424288,0.288269235,170300,295355.0464,0.000968602,0.9686019,0.781352179,0.781352179,0,14,1,3,3389,1537
8/21/2019 12:17,45.51651,-73.57381,49.59488,3.168,0,690.75,5.55E-17,1.384418,41,4.16,34.15486,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.4,-0.037833408,0.276114479,0.282830193,170300,295258.3355,0.000950015,0.950015218,0,0,0,14,1,3,3389,1537
8/21/2019 12:17,45.51653,-73.57379,50.31491,7.2,0,690.75,5.55E-17,1.384418,41,4.16,34.15486,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,-0.04729176,0.276114479,0.282830193,170300,295355.0464,0.000950326,0.950326393,2.717176899,2.717176899,0,14,1,3,3389,1537
8/21/2019 12:17,45.51653,-73.57379,50.31491,7.2,0,690.75,5.55E-17,1.384418,41,4.16,34.15486,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,-0.04729176,0.276114479,0.282830193,170300,295355.0464,0.000950326,0.950326393,0,0,0,14,1,3,3389,1537
8/21/2019 12:17,45.51655,-73.57377,50.64621,11.268,7,1416,0.2620216,4.532638,41,13.62,109.396,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.4,-0.04729176,0.904009468,0.925996931,170300,295258.3355,0.003110386,3.110386364,2.717176586,2.717176586,1.944444444,14,1,3,3389,1537
8/21/2019 12:17,45.51658,-73.57375,50.08371,12.816,7,1416,0.2620216,4.532638,41,13.62,109.396,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,-0.04729176,0.904009468,0.925996931,170300,295355.0464,0.003111405,3.111405161,3.682296074,3.682296074,1.944444444,14,1,3,3389,1537
8/21/2019 12:17,45.51661,-73.57372,50.81448,13.536,7,1416,0.2620216,4.532638,41,13.62,109.396,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.3,-0.029890535,0.904009468,0.925996931,170300,295355.0464,0.003111405,3.111405161,4.075763593,4.075763593,1.944444444,14,1,3,3389,1537
8/21/2019 12:17,45.51664,-73.57369,50.62173,13.86,13,1171.75,0.668114,2.349517,41,7.06,27.6622,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.4,-0.022927423,0.468598113,0.479995472,170300,295258.3355,0.001612285,1.612285443,4.075762891,4.075762891,3.611111111,14,1,3,3389,1537
8/21/2019 12:17,45.51667,-73.57367,50.76797,14.508,13,1171.75,0.668114,2.349517,41,7.06,27.6622,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.4,-0.022598364,0.468598113,0.479995472,170300,295258.3355,0.001612285,1.612285443,3.682295065,3.682295065,3.611111111,14,1,3,3389,1537
8/21/2019 12:17,45.51674,-73.5736,50.64932,15.804,15,1160.25,0.4820569,1.866968,41,5.61,26.56276,100,0.999424,18,22.1,Semi-Highway,0.286255291,1,17.03,32.4,-0.011927907,0.372356396,0.381412833,170300,295258.3355,0.00128115,1.28115033,9.510109044,9.510109044,4.166666667,14,1,3,3389,1537
