DateTime,Latitude [deg],Longitude [deg],Altitude [m],GPS Speed [km.h-1],Vehicle Speed [km.h-1],Engine Speed [rpm],Acceleration [m.s-2],Fuel Rate [l.h-1],Intake Air Temperature [c],Mass Air Flow Rate [g.s-1],Intake Manifold Absolute Pressure [kpa],Barometric Pressure [kpa],Phi,Ambient Air Temperature [c],Avg Ambient Air Temperature [c],Area,Idling portion,Duration,CO2 Conc. [%],Temperature [c],Slope [%],Fuel Rate1 [g.s-1],Fuel Rate2 [g.s-1],CO2 Conc. [ppm],CO2 Conc. [mg.m-3],CO2 Rate [kg.s-1],CO2 Rate [g.s-1],trip,laged_distance,laged_distance_corrected, speed distance ,VehicleAge,VehicleSize,EngineSize,VehicleWeight,VehicleWeightKG 
10/7/2019 13:39,45.5507,-73.60964,51.21847,5.256,5,801,-1.115927,1.208038,38,4.440239,46.58823,100,0.999424,17,16.5,Semi-Highway,0.214159292,1,17.81,31,-0.044728082,0.240936468,0.30188309,178100,310203.6387,0.00106534,1.065340161,Chevrolet_Malibu,2.716643519,2.716643519,1.388888889,1,0,1.5,3078,1396
10/7/2019 13:39,45.5507,-73.60963,51.57785,6.912,5,801,-1.115927,1.208038,38,4.440239,46.58823,100,0.999424,17,16.5,Semi-Highway,0.214159292,1,17.82,31,-0.05770111,0.240936468,0.30188309,178200,310377.8125,0.001065938,1.065938331,Chevrolet_Malibu,0.780878868,0.780878868,1.388888889,1,0,1.5,3078,1396
10/7/2019 13:39,45.55069,-73.60959,51.35525,9.396,5,801,-1.115927,1.208038,38,4.440239,46.58823,100,0.999424,17,16.5,Semi-Highway,0.214159292,1,17.81,31,-0.061175255,0.240936468,0.30188309,178100,310203.6387,0.00106534,1.065340161,Chevrolet_Malibu,3.315360769,3.315360769,1.388888889,1,0,1.5,3078,1396
10/7/2019 13:39,45.55068,-73.60955,51.28915,11.124,5,801,-1.115927,1.208038,38,4.440239,46.58823,100,0.999424,17,16.5,Semi-Highway,0.214159292,1,17.81,31,-0.044537092,0.240936468,0.30188309,178100,310203.6387,0.00106534,1.065340161,Chevrolet_Malibu,3.31536129,3.31536129,1.388888889,1,0,1.5,3078,1396
10/7/2019 13:39,45.55066,-73.6095,50.90945,17.784,5,801,-1.115927,1.208038,38,4.440239,46.58823,100,0.999424,17,16.5,Semi-Highway,0.214159292,1,17.81,31,-0.027898929,0.240936468,0.30188309,178100,310203.6387,0.00106534,1.065340161,Chevrolet_Malibu,4.492813924,4.492813924,1.388888889,1,0,1.5,3078,1396
10/7/2019 13:39,45.55065,-73.60944,51.89303,21.024,2,1464,-0.8996896,1.264613,38,15.32927,88,100,0.999424,17,16.5,Semi-Highway,0.214159292,1,17.81,31,-0.009930393,0.252220037,1.042206826,178100,310203.6387,0.00367793,3.677929718,Chevrolet_Malibu,4.815297127,4.815297127,0.555555556,1,0,1.5,3078,1396
10/7/2019 13:39,45.55062,-73.60938,51.98532,20.988,2,1464,-0.8996896,1.264613,38,15.32927,88,100,0.999424,17,16.5,Semi-Highway,0.214159292,1,17.81,31.1,-0.001402761,0.252220037,1.042206826,178100,310101.6316,0.00367672,3.67672027,Chevrolet_Malibu,5.750585453,5.750585453,0.555555556,1,0,1.5,3078,1396
10/7/2019 13:39,45.55059,-73.6093,52.73397,28.512,2,1464,-0.8996896,1.264613,38,15.32927,88,100,0.999424,17,16.5,Semi-Highway,0.214159292,1,17.81,31.1,0.01856601,0.252220037,1.042206826,178100,310101.6316,0.00367672,3.67672027,Chevrolet_Malibu,7.081166879,7.081166879,0.555555556,1,0,1.5,3078,1396
10/7/2019 13:39,45.55055,-73.6092,52.93795,29.376,23,1309.5,0.1614325,4.772249,38,12.63611,81.09804,100,0.999424,17,16.5,Semi-Highway,0.214159292,1,17.81,30.9,0.012256689,0.951798551,0.859104191,178100,310305.7129,0.003032761,3.032761329,Chevrolet_Malibu,8.985639842,8.985639842,6.388888889,1,0,1.5,3078,1396
10/7/2019 13:39,45.55051,-73.6091,53.07571,31.608,31,1309.5,0.8593643,3.530931,38,6.183629,39.68628,100,0.999424,17,16.5,Semi-Highway,0.214159292,1,17.81,31.1,0.014893202,0.704224572,0.420412737,178100,310101.6316,0.001483141,1.483141343,Chevrolet_Malibu,8.985644639,8.985644639,8.611111111,1,0,1.5,3078,1396
10/7/2019 13:39,45.55048,-73.609,52.94412,31.212,31,1127.75,0.3843043,0.875245,37,4.645698,34.5098,100,0.999424,17,16.5,Semi-Highway,0.214159292,1,17.81,31.2,0.011731881,0.174562753,0.315851842,178100,309999.6915,0.001113903,1.113902813,Chevrolet_Malibu,8.490878683,8.490878683,8.611111111,1,0,1.5,3078,1396
10/7/2019 13:39,45.55043,-73.60891,53.20602,31.14,31,1127.75,0.3843043,0.875245,37,4.645698,34.5098,100,0.999424,17,16.5,Semi-Highway,0.214159292,1,17.81,31,0.010807958,0.174562753,0.315851842,178100,310203.6387,0.001114636,1.114635644,Chevrolet_Malibu,8.959553729,8.959553729,8.611111111,1,0,1.5,3078,1396
